No,프로젝트,D/P&BOM 코드,D/P&BOM 내역,설계기능,도면종류,협력사,직영책임부서,작업 출도계획,작업 출도실적
2661,P3,DPBOM000001839,가공,F2,D2,,D3,2014-07-24,2014-07-16
2662,P3,DPBOM000001840,도장,F1,D1,,D1,2014-09-30,2014-07-21
2663,P3,DPBOM000001841,가공,F2,D2,,D3,2014-08-31,2014-08-27
2664,P3,DPBOM000001842,족장,F3,D3,D6,D4,2014-08-19,2014-06-30
2665,P3,DPBOM000001843,재마킹,F4,D6,,D3,2014-08-21,2014-07-24
2666,P3,DPBOM000001845,가공,F4,D7,,D3,2014-08-31,2014-08-21
2667,P3,DPBOM000001846,의장,F1,D8,,D1,2014-08-13,2014-05-29
2668,P3,DPBOM000001847,공작,F2,D4,,D3,2014-08-21,2014-08-20
2669,P3,DPBOM000001848,철의장,F2,D5,,D3,2014-06-12,2014-03-31
2670,P3,DPBOM000001849,가공,F2,D2,,D3,2014-08-14,2014-08-12
2671,P3,DPBOM000001850,가공,F2,D2,,D3,2014-08-19,2014-08-12
2672,P3,DPBOM000001851,가공,F2,D2,,D3,2014-07-31,2014-07-29
2673,P3,DPBOM000001852,도장,F1,D1,,D1,2014-08-11,2014-07-21
2674,P3,DPBOM000001853,가공,F2,D2,,D3,2014-08-25,2014-08-25
2675,P3,DPBOM000001854,족장,F3,D3,D6,D4,2014-08-11,2014-06-30
2676,P3,DPBOM000001855,재마킹,F4,D6,,D3,2014-08-12,2014-07-24
2677,P3,DPBOM000001857,가공,F4,D7,,D3,2014-08-25,2014-08-17
2678,P3,DPBOM000001858,의장,F1,D8,,D1,2014-08-07,2014-05-29
2679,P3,DPBOM000001859,공작,F2,D4,,D3,2014-08-12,2014-08-11
2680,P3,DPBOM000001860,철의장,F2,D5,,D3,2014-07-02,2014-03-18
2681,P3,DPBOM000001861,가공,F2,D2,,D3,2014-08-13,2014-08-13
2682,P3,DPBOM000001862,가공,F2,D2,,D3,2014-08-17,2014-08-13
2683,P3,DPBOM000001863,가공,F2,D2,,D3,2014-08-12,2014-08-11
2684,P3,DPBOM000001864,가공,F2,D2,,D3,2014-07-22,2014-07-22
