No,프로젝트,D/P&BOM 코드,D/P&BOM 내역,설계기능,도면종류,협력사,직영책임부서,작업 출도계획,작업 출도실적
2422,P3,DPBOM000001623,가공,F2,D2,,D3,2014-08-31,2014-08-28
2423,P3,DPBOM000001624,가공,F4,D7,,D3,2014-09-03,2014-08-24
2424,P3,DPBOM000001625,도장,F1,D1,,D1,2014-10-14,2014-07-21
2425,P3,DPBOM000001626,가공,F2,D2,,D3,2014-09-15,2014-09-15
2426,P3,DPBOM000001627,재마킹,F4,D6,,D3,2014-09-25,2014-08-25
2427,P3,DPBOM000001628,공작,F2,D4,,D3,2014-09-25,2014-09-25
2428,P3,DPBOM000001629,철의장,F2,D5,,D3,2014-07-20,2014-04-16
2429,P3,DPBOM000001630,가공,F2,D2,,D3,2014-09-04,2014-08-31
2430,P3,DPBOM000001632,가공,F4,D7,,D3,2014-09-04,2014-08-25
2431,P3,DPBOM000001634,가공,F4,D7,,D3,2014-09-18,2014-09-08
2432,P3,DPBOM000001635,도장,F1,D1,,D1,2014-08-25,2014-07-21
2433,P3,DPBOM000001636,가공,F2,D2,,D3,2014-07-09,2014-07-07
2434,P3,DPBOM000001637,공작,F2,D4,,D3,2014-07-31,2014-07-21
2435,P3,DPBOM000001638,철의장,F2,D5,,D3,2014-05-27,2014-05-12
2436,P3,DPBOM000001639,도장,F1,D1,,D1,2014-10-13,2014-07-21
2437,P3,DPBOM000001640,가공,F2,D2,,D3,2014-09-21,2014-09-15
2438,P3,DPBOM000001641,공작,F2,D4,,D3,2014-10-12,2014-10-12
2439,P3,DPBOM000001642,철의장,F2,D5,,D3,2014-08-31,2014-07-30
2440,P3,DPBOM000001083,도장,F1,D1,,D1,2014-08-03,2014-07-21
2441,P3,DPBOM000000447,가공,F2,D2,,D3,2014-04-24,2014-04-23
2442,P3,DPBOM000000448,족장,F3,D3,D6,D4,2014-05-07,2014-05-22
2443,P3,DPBOM000000449,재마킹,F4,D6,,D3,2014-05-07,2014-04-06
2444,P3,DPBOM000000451,의장,F1,D8,,D1,2014-04-24,2014-04-23
2445,P3,DPBOM000000452,공작,F2,D4,,D3,2014-05-07,2014-05-07
2446,P3,DPBOM000000453,철의장,F2,D5,,D3,2014-02-27,2014-02-25
2447,P3,DPBOM000000454,가공,F2,D2,,D3,2014-04-09,2014-04-09
2448,P3,DPBOM000001644,가공,F4,D7,,D3,2014-04-09,2014-04-06
2449,P3,DPBOM000001085,가공,F2,D2,,D3,2014-04-09,2014-04-09
2450,P3,DPBOM000001646,가공,F4,D7,,D3,2014-04-09,2014-04-06
2451,P3,DPBOM000001086,도장,F1,D1,,D1,2014-08-11,2014-07-21
2452,P3,DPBOM000000455,가공,F2,D2,,D3,2014-07-01,2014-07-01
2453,P3,DPBOM000000456,족장,F3,D3,D6,D4,2014-07-10,2014-05-22
2454,P3,DPBOM000000457,재마킹,F4,D6,,D3,2014-07-10,2014-06-30
2455,P3,DPBOM000000459,의장,F1,D8,,D1,2014-07-06,2014-05-29
2456,P3,DPBOM000000460,공작,F2,D4,,D3,2014-07-10,2014-07-10
2457,P3,DPBOM000000461,철의장,F2,D5,,D3,2014-04-24,2014-03-27
2458,P3,DPBOM000000462,가공,F2,D2,,D3,2014-06-18,2014-06-17
2459,P3,DPBOM000001648,가공,F4,D7,,D3,2014-06-18,2014-06-03
2460,P3,DPBOM000001649,가공,F2,D2,,D3,2014-06-19,2014-06-19
2461,P3,DPBOM000001651,가공,F4,D7,,D3,2014-06-19,2014-06-03
2462,P3,DPBOM000001088,도장,F1,D1,,D1,2014-08-11,2014-07-21
2463,P3,DPBOM000001089,가공,F2,D2,,D3,2014-05-28,2014-05-28
2464,P3,DPBOM000001090,족장,F3,D3,D6,D4,2014-06-03,2014-05-22
2465,P3,DPBOM000001091,재마킹,F4,D6,,D3,2014-06-03,2014-05-26
2466,P3,DPBOM000000463,의장,F1,D8,,D1,2014-05-28,2014-05-29
2467,P3,DPBOM000001093,공작,F2,D4,,D3,2014-06-03,2014-06-03
2468,P3,DPBOM000000464,철의장,F2,D5,,D3,2014-03-30,2014-03-23
2469,P3,DPBOM000001094,가공,F2,D2,,D3,2014-05-13,2014-05-13
2470,P3,DPBOM000001653,가공,F4,D7,,D3,2014-05-13,2014-04-24
2471,P3,DPBOM000001654,가공,F2,D2,,D3,2014-05-14,2014-05-14
2472,P3,DPBOM000001656,가공,F4,D7,,D3,2014-05-14,2014-04-24
2473,P3,DPBOM000001657,도장,F1,D1,,D1,2014-08-11,2014-07-21
2474,P3,DPBOM000001658,가공,F2,D2,,D3,2014-05-28,2014-05-28
2475,P3,DPBOM000001659,족장,F3,D3,D6,D4,2014-06-03,2014-05-22
2476,P3,DPBOM000001660,재마킹,F4,D6,,D3,2014-06-03,2014-05-26
2477,P3,DPBOM000000465,의장,F1,D8,,D1,2014-05-28,2014-05-29
2478,P3,DPBOM000001661,공작,F2,D4,,D3,2014-06-03,2014-06-03
2479,P3,DPBOM000000466,철의장,F2,D5,,D3,2014-03-30,2014-03-27
2480,P3,DPBOM000001662,가공,F2,D2,,D3,2014-05-13,2014-05-13
2481,P3,DPBOM000001664,가공,F4,D7,,D3,2014-05-13,2014-04-24
2482,P3,DPBOM000001665,가공,F2,D2,,D3,2014-05-14,2014-05-14
2483,P3,DPBOM000001667,가공,F4,D7,,D3,2014-05-14,2014-04-24
2484,P3,DPBOM000001668,도장,F1,D1,,D1,2014-08-11,2014-07-21
2485,P3,DPBOM000001669,가공,F2,D2,,D3,2014-06-04,2014-06-04
2486,P3,DPBOM000001670,족장,F3,D3,D6,D4,2014-06-17,2014-05-22
2487,P3,DPBOM000001671,재마킹,F4,D6,,D3,2014-06-17,2014-06-03
2488,P3,DPBOM000001673,가공,F4,D7,,D3,2014-06-04,2014-05-28
2489,P3,DPBOM000000467,의장,F1,D8,,D1,2014-06-05,2014-05-29
2490,P3,DPBOM000001674,공작,F2,D4,,D3,2014-06-17,2014-06-17
2491,P3,DPBOM000000468,철의장,F2,D5,,D3,2014-04-14,2014-04-14
2492,P3,DPBOM000001675,가공,F2,D2,,D3,2014-05-21,2014-05-21
2493,P3,DPBOM000001676,가공,F2,D2,,D3,2014-05-22,2014-05-22
2494,P3,DPBOM000001677,도장,F1,D1,,D1,2014-07-21,2014-07-21
2495,P3,DPBOM000001678,가공,F2,D2,,D3,2014-05-26,2014-05-26
2496,P3,DPBOM000001679,족장,F3,D3,D6,D4,2014-06-01,2014-05-22
