프로젝트,D/P&BOM 코드,D/P&BOM 내역,설계기능,도면종류,협력사,직영책임부서,작업 출도계획,작업 출도실적
P3,DPBOM000000894,도장,F1,D1,,D1,2014-08-27,2014-07-21
P3,DPBOM000000248,가공,F2,D2,,D3,2014-06-03,2014-06-03
P3,DPBOM000000896,재마킹,F4,D6,,D3,2014-07-01,2014-06-19
P3,DPBOM000000898,가공,F4,D7,,D3,2014-06-03,2014-05-25
P3,DPBOM000000250,공작,F2,D4,,D3,2014-07-01,2014-06-22
P3,DPBOM000000251,철의장,F2,D5,,D3,2014-05-13,2014-04-14
P3,DPBOM000000252,가공,F2,D2,,D3,2014-06-03,2014-06-03
P3,DPBOM000000255,가공,F2,D2,,D3,2014-06-03,2014-06-03
P3,DPBOM000000257,가공,F4,D7,,D3,2014-06-03,2014-05-25
P3,DPBOM000000902,가공,F2,D2,,D3,2014-06-03,2014-06-03
P3,DPBOM000000903,도장,F1,D1,,D1,2014-08-28,2014-07-21
P3,DPBOM000000904,가공,F2,D2,,D3,2014-07-20,2014-07-20
P3,DPBOM000000905,재마킹,F4,D6,,D3,2014-07-21,2014-07-13
P3,DPBOM000000908,공작,F2,D4,,D3,2014-07-21,2014-07-21
P3,DPBOM000000909,철의장,F2,D5,,D3,2014-05-22,2014-04-20
P3,DPBOM000000910,가공,F2,D2,,D3,2014-06-26,2014-06-25
P3,DPBOM000000912,가공,F2,D2,,D3,2014-07-06,2014-07-02
P3,DPBOM000000913,가공,F4,D7,,D3,2014-07-06,2014-06-23
P3,DPBOM000000915,가공,F4,D7,,D3,2014-06-30,2014-06-19
P3,DPBOM000001376,도장,F1,D1,,D1,2014-07-22,2014-07-21
P3,DPBOM000001377,가공,F2,D2,,D3,2014-04-24,2014-04-23
P3,DPBOM000001378,재마킹,F4,D6,,D3,2014-05-25,2014-05-15
P3,DPBOM000001379,의장,F1,D8,,D1,2014-05-19,2014-05-18
P3,DPBOM000001380,공작,F2,D4,,D3,2014-05-25,2014-05-21
P3,DPBOM000001381,철의장,F2,D5,,D3,2014-04-03,2014-04-01
P3,DPBOM000001382,가공,F2,D2,,D3,2014-04-24,2014-04-23
P3,DPBOM000001383,가공,F2,D2,,D3,2014-04-24,2014-04-23
P3,DPBOM000001385,가공,F4,D7,,D3,2014-04-24,2014-04-20
P3,DPBOM000001387,가공,F4,D7,,D3,2014-04-24,2014-04-20
P3,DPBOM000001388,도장,F1,D1,,D1,2014-07-23,2014-07-21
P3,DPBOM000001389,재마킹,F4,D6,,D3,2014-06-01,2014-05-26
P3,DPBOM000001390,의장,F1,D8,,D1,2014-05-26,2014-04-23
P3,DPBOM000001391,공작,F2,D4,,D3,2014-06-01,2014-06-01
P3,DPBOM000001392,철의장,F2,D5,,D3,2014-04-07,2014-03-19
P3,DPBOM000001393,가공,F2,D2,,D3,2014-05-13,2014-05-13
P3,DPBOM000001394,가공,F2,D2,,D3,2014-05-19,2014-05-19
P3,DPBOM000001396,가공,F4,D7,,D3,2014-05-19,2014-05-12
P3,DPBOM000001398,가공,F4,D7,,D3,2014-05-08,2014-04-23
P3,DPBOM000001399,도장,F1,D1,,D1,2014-07-23,2014-07-21
P3,DPBOM000001400,가공,F2,D2,,D3,2014-06-15,2014-06-05
P3,DPBOM000001401,재마킹,F4,D6,,D3,2014-06-12,2014-06-02
P3,DPBOM000001402,공작,F2,D4,,D3,2014-06-12,2014-06-05
P3,DPBOM000001403,철의장,F2,D5,,D3,2014-04-13,2014-03-19
P3,DPBOM000001404,가공,F2,D2,,D3,2014-05-18,2014-05-18
P3,DPBOM000001405,가공,F2,D2,,D3,2014-05-25,2014-05-25
P3,DPBOM000001407,가공,F4,D7,,D3,2014-05-25,2014-05-15
P3,DPBOM000001409,가공,F4,D7,,D3,2014-05-18,2014-05-08
P3,DPBOM000000916,도장,F1,D1,,D1,2014-07-03,2014-07-02
P3,DPBOM000000260,가공,F2,D2,,D3,2014-05-06,2014-05-06
P3,DPBOM000000262,재마킹,F4,D6,,D3,2014-05-28,2014-05-18
P3,DPBOM000000264,의장,F1,D8,,D1,2014-05-22,2014-05-18
P3,DPBOM000000265,공작,F2,D4,,D3,2014-05-28,2014-05-25
P3,DPBOM000000266,철의장,F2,D5,,D3,2014-04-08,2014-03-31
P3,DPBOM000000267,가공,F2,D2,,D3,2014-05-06,2014-05-06
P3,DPBOM000000918,가공,F4,D7,,D3,2014-05-06,2014-04-24
P3,DPBOM000001411,가공,F2,D2,,D3,2014-07-02,2014-06-23
P3,DPBOM000001412,철의장,F2,D5,,D3,2014-05-07,2014-05-07
P3,DPBOM000000919,도장,F1,D1,,D1,2014-07-07,2014-07-02
P3,DPBOM000000269,가공,F2,D2,,D3,2014-05-12,2014-05-12
P3,DPBOM000000920,족장,F3,D3,D6,D4,2014-06-02,2014-06-03
