프로젝트,D/P&BOM 코드,D/P&BOM 내역,설계기능,도면종류,협력사,직영책임부서,작업 출도계획,작업 출도실적
P3,DPBOM000001566,가공,F4,D7,,D3,2014-08-12,2014-07-30
P3,DPBOM000001004,도장,F1,D1,,D1,2014-10-05,2014-07-21
P3,DPBOM000000378,가공,F2,D2,,D3,2014-08-31,2014-08-31
P3,DPBOM000000379,족장,F3,D3,D6,D4,2014-09-03,2014-06-16
P3,DPBOM000001005,재마킹,F4,D6,,D3,2014-09-08,2014-09-01
P3,DPBOM000000380,의장,F1,D8,,D1,2014-09-01,2014-05-29
P3,DPBOM000000381,공작,F2,D4,,D3,2014-09-08,2014-09-07
P3,DPBOM000000382,철의장,F2,D5,,D3,2014-08-05,2014-06-18
P3,DPBOM000000388,가공,F4,D7,,D3,2014-08-14,2014-08-04
P3,DPBOM000001008,도장,F1,D1,,D1,2014-08-21,2014-07-21
P3,DPBOM000000391,가공,F2,D2,,D3,2014-06-23,2014-06-22
